ID;owning_organization_ID;product_type;name;brand;category;model;description;gtin;fibre_composition;care_instructions;repair_instructions;disposal_instructions;country_of_origin;substances_of_concern;espr_compliance;status;storytelling;durability_score;repairability_score;reuse_instructions;care_video_url;repair_video_url;disposal_video_url;reuse_video_url
prod-tshirt-classic;org-greenline;finished;Classic T-Shirt;Greenline;tops;Classic Tee 2026;Organic cotton crew neck T-shirt;04012345670010;95% Cotton, 5% Elastane;Wash at 30°C, no bleach;Sew small holes with cotton thread;Textile recycling bin;PT;None reported above 0.1%;compliant;published;"[{""title"":""Sustainable sourcing"",""body"":""Made from certified organic cotton grown without synthetic pesticides, ginned and spun in Turkey.""},{""title"":""Crafted to last"",""body"":""Cut and sewn in Portugal under fair-labour conditions, built to survive hundreds of washes.""},{""title"":""End of life"",""body"":""Fully recyclable - drop it in a textile recycling bin to give the fibres a second life.""}]";8.5;7.0;Pass it on or donate when outgrown - the durable knit suits second-hand wear.;https://greenline.example/videos/tshirt-care;https://greenline.example/videos/tshirt-repair;;https://greenline.example/videos/tshirt-reuse
prod-mat-cotton;org-greenline;material;Organic Cotton Fabric;Greenline;material;OC-160;Organic cotton woven fabric 160 g/m²;04012345670027;100% Organic Cotton;;;Compost or textile recycling;TR;Trace ginning residues;compliant;approved;;;;;;;;
prod-mat-elastane;org-greenline;material;Elastane Yarn;Greenline;material;EL-40;Elastane yarn for stretch blends;04012345670034;100% Elastane;;;Non-recyclable;DE;None reported;in_review;approved;;;;;;;;
prod-jacket-denim;org-greenline;finished;Eco Denim Jacket;Greenline;outerwear;Denim Jacket 2026;Recycled denim trucker jacket with recycled polyester lining;04012345670058;78% Recycled Cotton, 20% Recycled Polyester, 2% Elastane;Wash at 30°C inside out, do not tumble dry;Patch tears, replace buttons or the zipper;Textile recycling bin;PT;None reported above 0.1%;compliant;published;"[{""title"":""Recycled by design"",""body"":""Woven from recycled cotton and recycled polyester, keeping textile waste out of landfill.""},{""title"":""Built to be repaired"",""body"":""Replaceable buttons and a replaceable zipper plus a roomy cut make this jacket easy to mend and re-wear for years.""},{""title"":""Circular end of life"",""body"":""When it is truly worn out, the panels can be recovered through textile recycling.""}]";9.0;8.5;Designed for resale and vintage wear - replaceable parts keep it desirable second-hand.;https://greenline.example/videos/jacket-care;https://greenline.example/videos/jacket-repair;;
prod-mat-denim;org-greenline;material;Recycled Denim Fabric;Greenline;material;RD-340;Recycled denim woven fabric 340 g/m²;04012345670065;80% Recycled Cotton, 20% Recycled Polyester;;;Compost or textile recycling;TR;Trace residues;compliant;approved;;;;;;;;
prod-mat-lining;org-greenline;material;Recycled Polyester Lining;Greenline;material;RPL-90;Recycled polyester lining 90 g/m²;04012345670072;100% Recycled Polyester;;;Textile recycling;DE;None reported;compliant;approved;;;;;;;;
prod-comp-button;org-greenline;component;Recycled Metal Button;Greenline;trims;BTN-15;15 mm recycled zinc-alloy button;04012345670096;Recycled zinc alloy;;;Metal recycling;DE;None reported;compliant;approved;;;;;;;;
prod-pkg-box;org-greenline;packaging;Recycled Cardboard Box;Greenline;packaging;BOX-M;Recycled corrugated cardboard shipping box;04012345670102;100% Recycled cardboard;;;Paper recycling;DE;None reported;compliant;approved;;;;;;;;
prod-tee-fashionista;org-fashionista;finished;Statement Tee;Fashionista;tops;Statement-2026;Slim-fit cotton tee with print;04012345670041;100% Cotton;Wash at 40°C;;Textile recycling bin;IT;Disclosure pending;draft;draft;;;;;;;;
prod-hoodie-eco;org-greenline;finished;Eco Hoodie;Greenline;outerwear;Hoodie 2026;Recycled fleece pullover hoodie;04012345670119;80% Recycled Cotton, 18% Recycled Polyester, 2% Elastane;Wash at 30°C inside out;Repair seams, replace drawcord;Textile recycling bin;PT;None reported above 0.1%;compliant;published;"[{""title"":""Recycled warmth"",""body"":""Knitted from mechanically recycled cotton reclaimed from post-consumer textiles.""},{""title"":""Built to last"",""body"":""Sewn in Portugal under fair-labour conditions, with replaceable drawcords.""},{""title"":""Circular end of life"",""body"":""Fully recyclable through textile recycling when truly worn out.""}]";8.0;7.5;Pass it on or donate - the durable fleece suits second-hand wear.;https://greenline.example/videos/hoodie-care;https://greenline.example/videos/hoodie-repair;;
prod-fabric-fleece;org-greenline;material;Recycled Fleece Fabric;Greenline;material;RF-280;Recycled fleece knit fabric 280 g/m²;04012345670126;90% Recycled Cotton, 10% Recycled Polyester;;;Compost or textile recycling;TR;Trace residues;compliant;approved;;;;;;;;
prod-yarn-reccotton;org-greenline;material;Recycled Cotton Yarn;Greenline;material;RCY-50;Recycled cotton blended yarn;04012345670133;95% Recycled Cotton, 5% Elastane;;;Textile recycling;TR;None reported;compliant;approved;;;;;;;;
prod-fibre-reccotton;org-greenline;material;Raw Recycled Cotton Fibre;Greenline;material;RCF-RAW;Mechanically recycled cotton fibre from post-consumer textiles;04012345670140;100% Recycled Cotton;;;Textile recycling;TR;None reported;compliant;approved;;;;;;;;
